AirlineName,AirportDest,AirportOrig,ArrTime,DepTime,FlightDuration,Price,StopsCount
LATAM Airlines Group,mcz,bsb,2020/01/17-13:55,2020/01/17-06:15,7:40,1350.0,1
LATAM Airlines Group,mcz,bsb,2020/01/18-02:05,2020/01/17-18:45,7:20,1350.0,1
LATAM Airlines Group,mcz,bsb,2020/01/17-18:00,2020/01/17-06:50,11:10,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-13:05,2020/01/17-06:55,6:10,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-12:00,2020/01/17-19:15,16:45,2011.0,1
Azul,mcz,bsb,2020/01/18-00:40,2020/01/17-19:40,5:00,262.0,1
Azul,mcz,bsb,2020/01/18-01:45,2020/01/17-19:45,6:00,262.0,1
LATAM Airlines Group,mcz,bsb,2020/01/18-10:50,2020/01/17-20:00,14:50,2074.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-13:55,2020/01/17-20:10,17:45,2074.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-18:00,2020/01/17-20:15,21:45,5225.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-19:15,2020/01/17-08:25,10:50,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-19:15,2020/01/17-08:30,10:45,2450.0,2
Azul,mcz,bsb,2020/01/18-01:45,2020/01/17-20:30,5:15,262.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-12:00,2020/01/17-20:30,15:30,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/18-11:55,2020/01/17-20:35,15:20,1670.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-11:00,2020/01/17-08:40,2:20,1001.0,0
LATAM Airlines Group,mcz,bsb,2020/01/17-19:15,2020/01/17-08:50,10:25,1670.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-19:15,2020/01/17-09:05,10:10,1670.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-13:55,2020/01/17-21:15,16:40,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-22:45,2020/01/17-09:25,13:20,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/17-18:00,2020/01/17-09:25,8:35,1350.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-12:05,2020/01/17-09:45,2:20,1369.0,0
Azul,mcz,bsb,2020/01/18-17:10,2020/01/18-10:35,6:35,1441.0,1
Azul,mcz,bsb,2020/01/18-19:45,2020/01/18-12:40,7:5,262.0,1
LATAM Airlines Group,mcz,bsb,2020/01/18-15:55,2020/01/18-13:35,2:20,1369.0,0
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/19-01:35,2020/01/18-15:00,10:35,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/19-02:05,2020/01/18-15:00,11:5,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-20:05,2020/01/18-17:40,2:25,288.0,0
Azul,mcz,bsb,2020/01/18-10:50,2020/01/18-06:00,4:50,302.0,1
